Date,Daily return
06/21/2023,1755.0
06/22/2023,2890.0
06/23/2023,2495.0
06/26/2023,20.0
06/27/2023,1530.0
06/28/2023,5780.0
06/29/2023,2195.0
06/30/2023,-1775.0
07/05/2023,1665.0
07/06/2023,-2410.0
07/07/2023,-4825.0
07/10/2023,299.0
07/11/2023,-1541.5
07/12/2023,4773.5
07/13/2023,950.0
07/14/2023,-2424.0
07/17/2023,848.0
07/18/2023,-730.0
07/19/2023,-1503.5
07/20/2023,8093.0
07/21/2023,-1654.5
07/24/2023,1175.0
07/25/2023,2196.0
07/26/2023,1127.0
07/27/2023,-6015.0
07/28/2023,2284.0
07/31/2023,-1940.0
08/01/2023,-699.5
08/02/2023,5881.5
08/03/2023,-358.5
08/04/2023,-1396.5
08/07/2023,240.5
08/08/2023,-4147.5
08/09/2023,3508.0
08/10/2023,-2968.5
08/11/2023,1066.5
08/14/2023,2833.5
08/15/2023,-1169.5
08/16/2023,-125.5
08/17/2023,983.5
08/18/2023,-2701.0
08/21/2023,5464.0
08/23/2023,4073.5
08/24/2023,4290.5
08/25/2023,-2545.0
08/28/2023,-2179.0
08/29/2023,4660.5
08/30/2023,662.5
08/31/2023,-2065.0
09/01/2023,-2649.0
09/05/2023,-2852.0
09/06/2023,2257.0
09/07/2023,-771.5
09/08/2023,-3172.0
09/11/2023,3081.0
09/12/2023,856.0
09/13/2023,-3768.0
09/14/2023,1002.0
09/15/2023,6983.0
09/18/2023,-2483.0
09/19/2023,-1346.5
09/20/2023,-1384.5
09/21/2023,-298.0
09/22/2023,-2971.0
09/25/2023,223.0
09/26/2023,148.0
09/27/2023,-3565.0
09/28/2023,731.5
09/29/2023,-5248.0
10/02/2023,-451.5
10/03/2023,7785.5
10/04/2023,2853.0
10/05/2023,-7037.5
10/06/2023,4402.0
10/09/2023,4736.0
10/10/2023,-3156.5
10/11/2023,-3767.0
10/12/2023,-958.0
10/13/2023,6527.5
10/16/2023,-2406.5
10/17/2023,-5080.0
10/18/2023,1790.0
10/19/2023,-621.0
10/20/2023,1534.5
10/23/2023,3292.0
10/24/2023,-3512.5
10/25/2023,4649.0
10/26/2023,449.0
10/27/2023,-7162.0
10/30/2023,-4486.0
10/31/2023,3655.5
11/01/2023,-803.5
11/02/2023,3378.5
11/03/2023,-420.0
11/06/2023,2395.0
11/07/2023,475.0
11/08/2023,-1887.5
11/09/2023,-513.5
11/10/2023,12004.5
11/13/2023,511.0
11/14/2023,4415.5
11/15/2023,-1840.5
11/16/2023,-428.5
11/17/2023,-736.0
11/20/2023,3813.0
11/21/2023,-4810.0
11/22/2023,-3926.5
11/24/2023,-358.5
11/27/2023,-3750.25
11/28/2023,-5537.75
11/29/2023,2957.0
12/01/2023,3686.0
12/03/2023,-78.0
12/04/2023,-2772.5
12/05/2023,-8087.5
12/06/2023,2166.0
12/07/2023,5812.5
12/11/2023,2845.75
12/12/2023,4895.0
12/13/2023,3191.0
12/14/2023,155.0
12/15/2023,2172.5
12/18/2023,840.0
12/19/2023,-49.5
12/20/2023,5006.75
12/21/2023,-6869.0
12/22/2023,-1185.0
12/26/2023,1065.5
12/27/2023,-2680.0
12/28/2023,3160.5
01/02/2024,3681.5
01/03/2024,-2340.0
01/04/2024,-7849.5
01/05/2024,27049.0
01/08/2024,265.0
01/10/2024,5649.5
01/11/2024,-5383.0
01/12/2024,-5096.0
01/15/2024,-201.0
01/16/2024,-10448.5
01/17/2024,-2885.25
01/18/2024,7987.0
01/19/2024,12254.5
01/22/2024,-1913.5
01/23/2024,-126.5
01/24/2024,-1677.5
01/25/2024,-833.0
01/26/2024,-2262.5
01/28/2024,328.5
01/29/2024,6301.5
01/30/2024,3085.0
01/31/2024,-4877.5
02/01/2024,3524.5
02/02/2024,4959.5
02/05/2024,-3511.5
02/06/2024,-4376.5
02/07/2024,1550.5
02/08/2024,-1163.5
02/09/2024,4694.75
02/12/2024,996.5
02/13/2024,4330.5
02/14/2024,-1571.5
02/15/2024,-1361.0
02/16/2024,-1993.0
02/18/2024,94.5
02/19/2024,-656.0
02/20/2024,1045.0
02/21/2024,9404.0
02/22/2024,3.75
02/23/2024,894.5
02/25/2024,508.5
02/26/2024,871.0
02/27/2024,-4359.5
02/28/2024,-9098.5
02/29/2024,7028.5
03/01/2024,4156.0
03/04/2024,-1190.0
03/06/2024,-3501.5
03/07/2024,6258.0
03/08/2024,4984.0
03/11/2024,-3914.0
03/12/2024,3717.0
03/13/2024,-1100.5
03/14/2024,-2568.5
03/15/2024,4320.25
03/18/2024,73.75
03/19/2024,155.0
03/20/2024,6399.5
03/21/2024,-527.25
03/22/2024,-1432.5
03/25/2024,-125.0
03/26/2024,3786.5
03/27/2024,-5254.25
03/28/2024,-7237.5
03/31/2024,-1715.5
04/01/2024,-594.0
04/02/2024,-4181.5
04/03/2024,-2704.5
04/04/2024,14004.5
04/05/2024,-1268.0
04/08/2024,-4809.0
04/09/2024,-1560.5
04/10/2024,-1762.5
04/15/2024,11041.0
04/16/2024,-8535.0
04/17/2024,12289.5
04/18/2024,2766.0
04/19/2024,8853.0
04/22/2024,13312.5
04/23/2024,-1811.5
04/24/2024,-11480.0
04/25/2024,372.25
04/26/2024,1211.0
04/29/2024,-9534.5
04/30/2024,15893.0
05/01/2024,-11369.0
05/02/2024,-1681.5
05/03/2024,1948.5
05/05/2024,-207.0
05/06/2024,8765.5
05/07/2024,-966.5
05/08/2024,-7726.0
05/09/2024,-9879.75
05/10/2024,60.75
05/12/2024,-374.5
05/13/2024,-7498.5
05/14/2024,-8908.0
05/15/2024,18980.0
05/16/2024,-5547.0
05/17/2024,10169.0
05/20/2024,7654.0
05/21/2024,1709.0
05/22/2024,-13098.5
05/23/2024,8272.5
05/24/2024,4061.5
05/26/2024,-644.0
05/27/2024,246.5
05/28/2024,-8999.5
05/29/2024,-4430.0
05/30/2024,5870.0
05/31/2024,-5831.5
06/04/2024,7237.5
06/05/2024,31059.0
06/10/2024,-7997.5
06/11/2024,10526.3
06/12/2024,16682.5
06/13/2024,2550.5
06/14/2024,-3986.0
06/16/2024,-4750.0
06/17/2024,36410.0
06/18/2024,1466.5
06/19/2024,-3700.0
06/20/2024,9094.0
06/21/2024,5477.0
06/24/2024,1550.0
06/25/2024,4163.0
06/26/2024,-13159.5
06/27/2024,-6195.0
06/28/2024,-15892.0
06/30/2024,590.0
07/01/2024,2742.25
07/02/2024,19431.5
07/03/2024,1772.5
07/04/2024,-850.0
07/05/2024,13718.5
07/07/2024,650.0
07/08/2024,-3015.0
07/09/2024,-1228.0
07/10/2024,15175.5
07/11/2024,41043.8
07/12/2024,-944.5
07/14/2024,-350.0
07/15/2024,-17118.0
07/16/2024,10362.0
07/17/2024,-1151.25
07/18/2024,-5059.5
07/19/2024,9326.0
07/21/2024,700.0
07/22/2024,-3078.5
07/23/2024,50974.0
07/24/2024,3415.0
07/25/2024,-16298.0
07/26/2024,-16204.0
07/29/2024,-22459.8
07/30/2024,13056.5
07/31/2024,10809.5
08/01/2024,45320.3
08/02/2024,-3222.0
08/04/2024,6834.0
08/05/2024,3969.0
08/06/2024,-24280.5
08/07/2024,27561.3
08/08/2024,13776.0
08/09/2024,514.5
08/12/2024,-16761.5
08/13/2024,36896.0
08/14/2024,-18999.8
08/15/2024,36614.5
08/16/2024,-5593.75
08/19/2024,9190.25
08/20/2024,-7692.0
08/21/2024,-16890.0
08/22/2024,35657.1
08/23/2024,-23774.3
08/26/2024,7626.0
08/27/2024,-5667.5
08/28/2024,14629.0
08/29/2024,249.25
08/30/2024,-10031.5
08/31/2024,362.5
09/01/2024,100.0
09/02/2024,6306.75
09/03/2024,44642.0
09/04/2024,-9469.25
09/05/2024,-21768.0
09/06/2024,6428.25
09/09/2024,-6599.0
09/10/2024,660.5
09/11/2024,36617.8
09/12/2024,5575.0
09/13/2024,-4178.5
09/16/2024,-2653.25
09/17/2024,7296.38
09/18/2024,-28657.3
09/19/2024,6182.0
09/20/2024,-8431.0
09/23/2024,-2284.25
09/24/2024,-16356.5
09/25/2024,-4960.25
09/26/2024,9814.5
09/27/2024,4018.75
09/28/2024,795.625
09/29/2024,790.125
09/30/2024,-450.375
10/01/2024,-2377.75
10/02/2024,6106.75
10/03/2024,-5425.25
10/04/2024,-5552.5
10/05/2024,-1337.25
10/06/2024,-1054.38
10/07/2024,-7954.75
10/08/2024,5889.25
10/09/2024,4066.25
10/10/2024,-4187.25
10/11/2024,2028.75
10/12/2024,-349.0
10/13/2024,-391.75
10/14/2024,8142.0
10/15/2024,6621.75
10/16/2024,443.75
10/17/2024,581.5
10/18/2024,-1139.75
10/19/2024,521.0
10/20/2024,409.75
10/21/2024,-4634.5
10/22/2024,-4715.5
10/23/2024,14849.0
10/24/2024,-4218.25
10/25/2024,-8780.5
10/26/2024,-287.5
10/27/2024,-803.125
10/28/2024,7534.25
10/29/2024,9562.25
10/30/2024,3834.0
10/31/2024,9518.0
11/01/2024,2475.75
11/02/2024,-122.5
11/03/2024,198.0
11/04/2024,-11637.0
11/05/2024,22500.0
11/06/2024,6328.5
11/07/2024,2591.5
11/08/2024,2509.0
11/11/2024,4476.5
11/12/2024,-5278.75
11/13/2024,-8355.5
11/14/2024,-3301.0
11/15/2024,13274.5
11/18/2024,-4441.5
11/19/2024,1246.0
11/20/2024,-9979.0
11/21/2024,-15903.0
11/22/2024,-7345.5
11/25/2024,-2144.5
11/26/2024,-2709.25
12/02/2024,12146.5
12/03/2024,314.5
12/04/2024,6551.5
12/05/2024,-5401.0
12/06/2024,3354.0
12/09/2024,896.0
12/10/2024,-693.0
12/11/2024,15207.0
12/12/2024,-4397.5
12/13/2024,-9385.5
12/16/2024,12706.3
12/17/2024,-2970.0
12/18/2024,29263.5
12/19/2024,1269.5
12/20/2024,9297.5
12/23/2024,-2240.5
12/24/2024,12252.5
12/25/2024,603.5
12/26/2024,-770.5
12/27/2024,3386.5
12/30/2024,-6071.5
12/31/2024,-1543.5
01/02/2025,-9339.0
01/03/2025,13047.5
